Sales Organization,Distribution Channel,Condition Type,Condition Record No.,Material,Condition Amount,Condition Currency,Pricing Unit,Unit of Measure,Valid From,Valid To
US05,Z1,ZPR0,0000334167,300003337,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0001698476,300003399,110,USD,1,GAL,01/01/2023,01/01/9999
US05,Z1,ZPR0,0001698481,300003406,37,USD,1,GAL,01/01/2023,01/01/9999
US05,Z1,ZPR0,0000334214,300003416,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334219,300003426,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334258,300003482,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334261,300003485,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334269,300003500,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000986272,300003532,30,USD,1,GAL,01/01/2021,12/31/9999
US05,Z1,ZPR0,0000334353,300003620,38,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334355,300003623,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334356,300003624,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0002903345,300003639,65,USD,1,CS,01/01/2024,01/01/9999
US05,Z1,ZPR0,0000334372,300003651,37,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334380,300003662,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334384,300003670,38,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334399,300003696,70,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334430,300003793,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334437,300003807,37,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334439,300003809,37,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000368686,300003827,45,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334503,300003917,40,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000986306,300004109,30,USD,1,GAL,01/01/2021,12/31/9999
US05,Z1,ZPR0,0000334606,300004125,37,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0000334610,300004131,37,USD,1,CS,01/01/2023,12/31/9999
US05,Z1,ZPR0,0002903373,300004192,40,USD,1,CS,01/01/2024,01/01/9999
US05,Z1,ZPR0,0002903374,300004193,40,USD,1,CS,01/01/2024,01/01/9999
US05,Z1,ZPR0,0002903375,300004194,40,USD,1,CS,01/01/2024,01/01/9999
US05,Z1,ZPR0,0000334656,300004208,30,USD,1,CS,01/01/2023,12/31/9999
