Sales Order Number,Sales Document Type,Sales Order Line Item,Order Create Date,Requested Delivery Date,Sold-To Party,Sold-to Name,Customer Hierarchy ,Customer Hierarchy Level 6 Text,Customer Hierarchy Level 7 Text,Material,Material Descrption,Material Status Description,Plant Material Status Description,Auth Sell Flag Description,Plant,Order Quantity Sales Unit,Sales Unit of Measure
1076454982,ZOR,180,20251113,20251114,2001202172,QUIKTRIP #310R,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1269,1,CS
1076454982,ZOR,200,20251113,20251114,2001202172,QUIKTRIP #310R,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1269,1,CS
1076454982,ZOR,210,20251113,20251114,2001202172,QUIKTRIP #310R,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1269,1,CS
1076454982,ZOR,270,20251113,20251114,2001202172,QUIKTRIP #310R,1000008601.0,QUIKTRIP,QUIKTRIP,300039348,FAST TWITCH GRP PET 12OZ 1P12C NEW,Material Active,Material Active,No,1269,1,CS
1076454983,ZOR,150,20251113,20251114,2000371680,QUIKTRIP #216,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1331,1,CS
1076461509,ZOR,420,20251113,20251114,2000362832,QUIKTRIP # 219,1000008601.0,QUIKTRIP,QUIKTRIP,300011156,DT DR PEP ORG BIB 5GL 1P1C POS,Material Active,Material Active,No,1331,3,CS
1076461991,ZOR,230,20251113,20251114,2001159798,QUIKTRIP 4034,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1N98,1,CS
1076461991,ZOR,240,20251113,20251114,2001159798,QUIKTRIP 4034,1000008601.0,QUIKTRIP,QUIKTRIP,300045060,BUBLY BRST MGOLIM PET 16.9OZ 1P12C,Material Active,Material Active,No,1N98,1,CS
1076465590,ZOR,210,20251113,20251114,2004259467,QUIKTRIP 4042,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1N98,2,CS
1076465590,ZOR,240,20251113,20251114,2004259467,QUIKTRIP 4042,1000008601.0,QUIKTRIP,QUIKTRIP,300045060,BUBLY BRST MGOLIM PET 16.9OZ 1P12C,Material Active,Material Active,No,1N98,1,CS
1076465988,ZOR,130,20251113,20251114,2001016594,QUIKTRIP #218,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1331,1,CS
1076465988,ZOR,180,20251113,20251114,2001016594,QUIKTRIP #218,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1331,1,CS
1076465988,ZOR,250,20251113,20251114,2001016594,QUIKTRIP #218,1000008601.0,QUIKTRIP,QUIKTRIP,300011156,DT DR PEP ORG BIB 5GL 1P1C POS,Material Active,Material Active,No,1331,3,CS
1076466473,ZOR,200,20251113,20251114,2000761217,QUIKTRIP 4014,1000008601.0,QUIKTRIP,QUIKTRIP,300045060,BUBLY BRST MGOLIM PET 16.9OZ 1P12C,Material Active,Material Active,No,1272,1,CS
1076466473,ZOR,210,20251113,20251114,2000761217,QUIKTRIP 4014,1000008601.0,QUIKTRIP,QUIKTRIP,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1272,1,CS
1076466823,ZOR,170,20251113,20251114,2000312228,QUIKTRIP #314,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1269,1,CS
1076466823,ZOR,230,20251113,20251114,2000312228,QUIKTRIP #314,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1269,2,CS
1076466823,ZOR,240,20251113,20251114,2000312228,QUIKTRIP #314,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1269,1,CS
1076467853,ZOR,370,20251113,20251114,2001149454,PRICE CHOPPER 250,1000006062.0,NORTHEAST GROCERS,PRICE CHOPPER,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1029,1,CS
1076467853,ZOR,380,20251113,20251114,2001149454,PRICE CHOPPER 250,1000006062.0,NORTHEAST GROCERS,PRICE CHOPPER,300051111,MTN DEW ZS TRLICHRLEM CAN 12OZ 12P2CFM,Material Active,Material Active,No,1029,1,CS
1076468079,ZOR,150,20251113,20251114,2001253281,QUIKTRIP #594,1000008601.0,QUIKTRIP,QUIKTRIP,300010161,PEPSI NITRO VNLCOLA CAN 13.65OZ 1P12C,Material Active,Material Active,No,1288,1,CS
1076468079,ZOR,160,20251113,20251114,2001253281,QUIKTRIP #594,1000008601.0,QUIKTRIP,QUIKTRIP,300040911,MTN DEW BAJ PNT BRK PNCHSBPET20OZ1P24C S,Material Active,Material Active,No,1288,1,CS
1076468079,ZOR,170,20251113,20251114,2001253281,QUIKTRIP #594,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1288,1,CS
1076469932,ZOR,220,20251113,20251114,2000830085,QUIKTRIP #589,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1288,1,CS
1076470268,ZOR,270,20251113,20251113,2000928286,QUIKTRIP #188,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1331,1,CS
1076470268,ZOR,460,20251113,20251113,2000928286,QUIKTRIP #188,1000008601.0,QUIKTRIP,QUIKTRIP,300011156,DT DR PEP ORG BIB 5GL 1P1C POS,Material Active,Material Active,No,1331,2,CS
1076471151,ZOR,190,20251113,20251114,2001202127,QUIKTRIP #353,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1269,2,CS
1076471151,ZOR,280,20251113,20251114,2001202127,QUIKTRIP #353,1000008601.0,QUIKTRIP,QUIKTRIP,300045892,LPTN FSN PNAPLMGOLEMAD CAN 16OZ 1P12C,Material Active,Material Active,No,1269,1,CS
1076472512,ZOR,510,20251113,20251114,2000499729,PRICE CHOPPER 023,1000006062.0,NORTHEAST GROCERS,PRICE CHOPPER,300009920,SCW CRNBRASB PET 2L 1P8C S,Material Active,Material Active,No,1029,1,CS
1076472682,ZOR,200,20251113,20251113,2000548135,QUIKTRIP #155,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1331,1,CS
1076472682,ZOR,270,20251113,20251113,2000548135,QUIKTRIP #155,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1331,1,CS
1076472683,ZOR,250,20251113,20251114,2000371700,QUIKTRIP #698,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1353,1,CS
1076472683,ZOR,300,20251113,20251114,2000371700,QUIKTRIP #698,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1353,1,CS
1076472683,ZOR,300,20251113,20251114,2000371700,QUIKTRIP #698,1000008601.0,QUIKTRIP,QUIKTRIP,300009428,STRBK FRP CFFE GB 13.7OZ 1P12CCBL,Material Active,Material Active,No,1353,1,CS
1076473290,ZOR,200,20251113,20251114,2000540335,QUIKTRIP #652,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1353,1,CS
1076473290,ZOR,260,20251113,20251114,2000540335,QUIKTRIP #652,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1353,1,CS
1076473290,ZOR,260,20251113,20251114,2000540335,QUIKTRIP #652,1000008601.0,QUIKTRIP,QUIKTRIP,300009428,STRBK FRP CFFE GB 13.7OZ 1P12CCBL,Material Active,Material Active,No,1353,1,CS
1076473290,ZOR,280,20251113,20251114,2000540335,QUIKTRIP #652,1000008601.0,QUIKTRIP,QUIKTRIP,300045060,BUBLY BRST MGOLIM PET 16.9OZ 1P12C,Material Active,Material Active,No,1353,1,CS
1076473563,ZOR,110,20251113,20251113,2004999780,QUIK TRIP 4157,1000008601.0,QUIKTRIP,QUIKTRIP,300005846,STRBK FRP PUMPSPC GB 13.7OZ 1P12C,Material Active,Material Active,No,1R96,1,CS
1076473563,ZOR,150,20251113,20251113,2004999780,QUIK TRIP 4157,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1R96,1,CS
1076473563,ZOR,170,20251113,20251113,2004999780,QUIK TRIP 4157,1000008601.0,QUIKTRIP,QUIKTRIP,300045060,BUBLY BRST MGOLIM PET 16.9OZ 1P12C,Material Active,Material Active,No,1R96,1,CS
1076474491,ZOR,200,20251113,20251114,2000550583,QUIKTRIP #674,1000008601.0,QUIKTRIP,QUIKTRIP,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1353,4,CS
1076474491,ZOR,200,20251113,20251114,2000550583,QUIKTRIP #674,1000008601.0,QUIKTRIP,QUIKTRIP,300009428,STRBK FRP CFFE GB 13.7OZ 1P12CCBL,Material Active,Material Active,No,1353,4,CS
1076474491,ZOR,210,20251113,20251114,2000550583,QUIKTRIP #674,1000008601.0,QUIKTRIP,QUIKTRIP,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1353,1,CS
